Dataset,QuerySet,QueryCount,L_search,Weight_search,Recall,QPS,SearchTime,DistCount,Memory(KB)
audio,3_1,200,50,3e+10,0.904,15054.8,0.0132848,0,96740
audio,3_1,200,70,3e+10,0.9565,12575.9,0.0159034,0,96740
audio,3_1,200,90,3e+10,0.96,9915.93,0.0201696,0,96740
audio,3_1,200,110,3e+10,0.9685,8947.81,0.0223518,0,96740
audio,3_1,200,130,3e+10,0.971,7805.2,0.025624,0,96740
audio,3_1,200,150,3e+10,0.966,7268.91,0.0275145,0,96740
audio,3_1,200,170,3e+10,0.9765,6563,0.0304739,0,96740
audio,3_1,200,190,3e+10,0.975,6060.14,0.0330025,0,96740
audio,3_1,200,250,3e+10,0.976,4847.03,0.0412624,0,96740
audio,3_1,200,300,3e+10,0.98,4047.61,0.0494119,0,96740
audio,3_1,200,350,3e+10,0.9835,3538.21,0.0565257,0,96740
audio,3_1,200,400,3e+10,0.987,2988.33,0.066927,0,96740
audio,3_1,200,450,3e+10,0.989,2479.29,0.0806683,0,96740
audio,3_1,200,500,3e+10,0.9935,2176.94,0.0918722,0,96740
audio,3_1,200,600,3e+10,0.9965,1652.94,0.120997,0,96740
audio,3_1,200,700,3e+10,0.9985,1336.28,0.149669,0,96740
audio,3_1,200,800,3e+10,0.9995,1117.94,0.1789,0,96740
audio,3_1,200,900,3e+10,0.9995,954.37,0.209562,0,96740
audio,3_1,200,1000,3e+10,1,838.071,0.238643,0,96740
